Gene ID	Ensembl ID	Adipose Subcutaneous	Adipose Visceral (Omentum)	Adrenal Gland	Artery Aorta	Artery Coronary	Artery Tibial	Bladder	Brain Amygdala	Brain Anterior cingulate cortex (BA24)	Brain Caudate (basal ganglia)	Brain Cerebellar Hemisphere	Brain Cerebellum	Brain Cortex	Brain Frontal Cortex (BA9)	Brain Hippocampus	Brain Hypothalamus	Brain Nucleus accumbens (basal ganglia)	Brain Putamen (basal ganglia)	Brain Spinal cord (cervical c-1)	Brain Substantia nigra	Breast Mammary Tissue	Cells Cultured fibroblasts	Cells EBV transformed lymphocytes	Cervix Ectocervix	Cervix Endocervix	Colon Sigmoid	Colon Transverse	Esophagus Gastroesophageal Junction	Esophagus Mucosa	Esophagus Muscularis	Fallopian Tube	Heart Atrial Appendage	Heart Left Ventricle	Kidney Cortex	Kidney Medulla	Liver	Lung	Minor Salivary Gland	Muscle Skeletal	Nerve Tibial	Ovary	Pancreas	Pituitary	Prostate	Skin Not Sun Exposed Suprapubic	Skin Sun Exposed Lower leg	Small Intestine Terminal Ileum	Spleen	Stomach	Testis	Thyroid	Uterus	Vagina	Whole Blood
TMEM18	ENSG00000151353.14	21.4933	19.6412	18.05	18.8718	19.9962	24.175	18.7291	6.41507	6.95576	8.07439	13.1209	12.4001	8.11216	9.19944	6.42972	8.45598	8.76567	6.733	15.2175	7.54705	21.6805	21.8071	18.207	30.5656	30.534	15.7524	13.6042	15.0482	14.1653	13.1022	26.6311	5.99037	4.23849	9.59563	12.871	6.42325	17.4767	15.8554	8.65193	24.0693	40.8698	11.0611	15.8331	18.2573	18.1561	17.7058	14.8962	17.8896	12.6923	18.9972	25.2129	35.9461	20.3606	3.00535
LPIN1	ENSG00000134324.11	32.415	31.3401	16.0585	19.302	20.3843	21.9536	30.6641	15.1551	15.8202	23.9341	47.3858	45.5485	18.5494	19.2344	10.7435	19.0297	23.7643	16.6035	14.264	17.8059	35.157	22.2696	17.6735	30.8675	29.5539	24.5267	17.9465	28.674	37.2387	35.1815	28.0264	11.5608	10.4236	7.7907	14.1999	13.5415	27.2803	34.1319	83.1003	102.356	50.7678	5.23388	49.1416	20.9286	15.7743	17.0468	24.5645	19.9829	12.12	102.159	26.0628	31.6214	29.5666	3.20541
ADCY3	ENSG00000138031.14	67.3393	61.9861	8.24865	29.6652	32.2976	42.0209	28.187	7.49843	9.675	16.052	27.7118	30.4932	17.1435	14.1136	7.13266	11.0275	16.3089	11.0685	10.807	8.44626	56.5807	47.0072	54.4497	54.5392	60.0724	18.1657	15.6598	29.1091	18.0762	27.7364	62.5853	10.8152	7.14328	5.55222	12.0636	1.26767	35.5482	15.0264	4.7822	108.326	60.472	4.20448	25.6232	27.424	23.5314	28.4259	23.1192	16.7247	10.9987	8.02342	34.7617	58.9159	36.2868	2.91442
POMC	ENSG00000115138.10	2.9183	5.77071	9.11859	2.63215	2.42243	1.49198	2.7151	2.50474	2.22704	2.91579	3.73119	5.86978	2.7192	2.16855	2.31752	7.53925	3.26911	2.90292	5.39081	4.901	3.36454	0.830555	9.02718	2.53597	2.98681	5.92002	3.60299	4.47884	2.53761	5.48475	2.71623	4.48869	2.86861	2.01574	4.61684	1.61565	3.06245	1.95468	1.65763	3.01891	5.11181	6.22939	29208.2	4.3384	6.89093	6.69437	4.4357	7.90194	3.11123	41.129	6.31794	3.58438	3.36239	2.1361
GCKR	ENSG00000084734.8	0.961999	1.07362	8.54693	1.48807	1.8474	0.500437	0.406485	0.282433	0.481685	0.270639	1.87818	1.96367	0.846483	0.709056	0.303967	0.50937	0.36625	0.205464	0.256257	0.424045	0.908009	0.317024	0.0115315	0.495262	0.62719	0.216389	0.177009	0.179814	1.93262	0.207109	0.44785	0.230455	0.0403799	0.33839	0.38561	97.0148	0.387648	0.362914	0.0912584	0.3279	13.0286	0.651567	0.643762	1.01984	0.215075	0.177042	0.27463	2.3026	3.87226	8.13392	0.306948	0.363828	0.686126	0.112689
THNSL2	ENSG00000144115.16	13.2477	11.4234	23.1018	7.78249	11.246	9.38666	20.0159	7.58497	6.99349	7.7549	3.01785	4.12643	7.98983	8.34298	5.99794	10.6218	7.50282	6.81531	13.0454	10.1819	19.263	4.4999	0.207912	17.6046	30.3437	25.3783	13.7086	21.5486	6.6054	21.9651	21.576	9.80061	6.44861	17.1863	14.6356	21.4919	10.9476	15.2209	26.9707	32.6598	23.9161	6.15217	42.1591	30.9948	11.2098	11.8558	15.3557	8.76418	11.3134	20.5681	33.4722	18.9736	12.6495	0.379958
G6PC2	ENSG00000152254.10	0.0458346	0.035039	0.0186136	0	0	0	0	0.0473123	0.0474911	0.0394228	0	0	0.0305561	0.0280767	0.0794915	0.0592548	0.0266435	0.0261795	0.0227615	0.019008	0.081696	0	0	0.041974	0.0133591	0.0447765	0.0584806	0.0207891	0	0.0259025	0.0433243	0	0.00884511	0.0266986	0.102066	0.0277283	0.0944753	0.0864252	0.00920836	0.0584072	0.0427631	7.56323	0.014883	0.0438846	0.0344465	0.0856224	0.0409352	0	0.0737419	2.59755	0.025093	0.033813	0.0153318	0
IRS1	ENSG00000169047.5	10.6155	8.64889	10.671	9.7636	5.96202	11.35	23.8925	1.07746	2.06085	1.15249	8.34855	7.72208	2.61601	3.19086	1.1561	1.8971	1.48014	0.826538	0.940001	1.24898	14.6596	50.3412	1.08939	18.7716	43.1597	19.3035	8.38177	9.91623	4.56968	12.9147	41.6241	4.10335	3.59566	2.49879	4.69839	7.60429	10.586	4.79073	5.75753	9.98063	42.2879	2.26513	2.77912	15.3525	9.06415	8.69759	7.76326	2.83415	6.86205	1.1317	37.3614	31.3307	13.9985	0.148125
PER2	ENSG00000132326.11	10.8093	8.78877	2.23267	12.1035	7.55925	15.49	11.9876	3.6546	4.85241	3.99615	16.8902	16.0862	5.92047	6.30993	3.61337	4.31316	4.77263	3.2127	3.64907	2.78619	14.6618	2.44697	7.8044	15.0418	18.8108	11.5203	9.79771	12.5174	12.7894	11.0942	19.6596	3.71508	1.75371	2.60395	5.04402	3.79298	10.2565	18.2139	6.06259	11.2658	14.9638	3.92414	17.6238	17.7585	25.977	26.1149	9.83821	5.60769	12.1142	25.1254	12.8096	15.9535	15.0954	1.68247
PPARG	ENSG00000132170.19	111.145	100.821	2.81662	4.4123	11.6175	4.44729	15.3118	1.26742	1.83532	0.962483	2.77393	2.4248	1.8335	2.17504	1.34371	1.05849	1.54653	0.712427	1.47292	0.827065	71.2587	20.4223	0.309642	14.1074	8.17698	5.91594	21.578	3.98504	5.03297	3.61516	7.89623	5.21659	4.71655	7.85204	8.14741	3.55026	19.4561	4.96582	2.09687	13.7922	17.473	0.8927	0.456269	5.36489	4.71791	6.02375	9.23883	11.0259	10.4628	7.02336	18.5109	10.7558	9.38434	1.7768
SEMA3G	ENSG00000010319.6	127.326	80.9953	2.02674	5.33054	13.7432	5.35289	15.0049	6.17181	6.46574	7.26036	35.4217	41.6791	7.63013	6.34646	6.28263	6.84255	6.39862	7.87629	8.03007	10.3324	94.7301	0.147514	0.0632217	11.8685	9.70353	7.69688	7.58167	14.8279	4.56046	13.4611	11.2463	8.20084	8.93602	18.3586	22.6722	0.733902	37.2846	6.63838	6.46925	35.8567	4.53581	1.84952	1.81623	7.48391	14.5947	19.091	12.2678	12.1922	6.27814	3.40715	15.4935	12.1596	12.3758	0.143908
ITIH4	ENSG00000055955.15	11.5689	7.37643	25.6354	41.9852	109.011	105.292	17.7249	2.66639	3.46095	4.37951	9.03618	11.8148	6.54113	4.22356	2.99237	3.46258	4.01041	3.55639	3.40335	3.34876	9.60709	0.758051	3.87492	17.1834	21.0307	12.6493	6.66388	11.8137	4.18811	11.3516	20.5513	4.39498	2.56461	8.38418	6.05284	1601.43	19.6835	6.12946	38.5337	20.2199	8.40106	32.1179	14.8874	16.2705	6.47363	7.70508	11.5757	25.495	9.05658	11.7386	22.5609	13.5662	11.1328	10.8267
KLF15	ENSG00000163884.3	48.4482	32.4752	7.93743	74.9651	54.8161	101.095	62.004	18.2824	17.4523	19.6127	15.2969	20.1885	17.2311	16.4685	14.9715	15.0291	18.434	17.8066	19.5432	18.4738	36.2004	10.6326	0.167684	32.2087	43.8705	30.3004	11.7523	67.7564	8.16158	65.5623	67.8667	18.8776	18.3833	16.5023	7.89197	59.8368	30.6188	14.5933	43.5465	108.23	84.6474	31.4572	16.3082	30.2541	9.29446	12.8458	12.0005	5.11222	32.8805	11.3213	19.5422	37.3339	13.5988	0.120501
ADIPOQ	ENSG00000181092.9	564.667	502.093	0.553974	0.563651	20.3219	0.367383	1.62662	0.041842	0.0417248	0.0435678	0.0449973	0.0844263	0.0794244	0.0680438	0.0691049	0.0533335	0.0409798	0.038204	0.16638	0.0512909	203.306	0.070938	0.061022	0.0760912	0.0874803	0.420914	1.36155	0.442425	0.0836885	0.207215	0.122783	0.613705	0.351727	0.0390852	0.0443297	0.0478836	0.11935	8.96687	0.818536	18.6073	0.10579	0.422393	0.0885694	0.0967837	1.4572	5.0904	1.2156	0.0576131	0.619222	0.471786	0.884605	0.101252	0.189588	0.105928
CLDN1	ENSG00000163347.5	2.04323	51.3156	70.206	1.03579	3.44683	1.52158	9.76374	2.58361	1.8465	1.21204	0.456324	0.405147	1.07194	1.46425	1.68442	1.9725	1.08768	0.87168	0.874481	2.34416	6.40452	0.89462	0.162478	2.77003	3.9085	0.696901	0.996049	2.10279	56.952	1.37751	97.668	0.919437	0.19001	8.20386	14.0926	90.5158	8.56398	48.0644	0.309042	152.161	8.29707	19.248	4.58449	18.3607	496.914	462.162	1.02144	0.997505	0.837502	5.18846	9.63021	99.3524	63.8801	0.10368
UVSSA	ENSG00000163945.15	10.8952	7.54739	7.22252	8.27445	8.49119	8.00443	9.60972	1.80551	1.6262	2.21228	4.13198	6.00528	2.42658	1.77705	2.0006	2.14402	2.3156	1.71319	3.62583	2.06723	11.1953	6.67734	12.6074	12.4582	12.4563	8.97965	8.75394	8.62393	7.52012	8.29981	13.5164	3.18204	1.90471	4.22785	7.21981	3.36447	17.2456	12.0826	2.20363	19.7728	14.1012	5.3389	25.9143	10.5056	11.4481	11.6903	10.8559	13.9695	9.03745	30.5114	21.0099	14.259	11.4158	3.63205
CD38	ENSG00000004468.12	3.84408	3.52666	3.1033	1.78575	4.62596	1.73732	1.27664	2.34222	2.79686	7.2856	0.505826	0.675939	2.39164	2.51481	2.81908	3.36563	4.71212	5.37505	1.27326	3.8449	2.03337	0.0243679	38.4834	1.07295	1.84305	0.825027	2.11131	1.63569	1.44721	1.82218	2.80991	2.98051	1.99386	0.619245	1.18754	1.1042	6.08716	2.02951	3.10579	4.04202	0.326386	0.196752	3.52487	5.74118	0.163687	0.230896	6.5096	25.7955	1.03259	0.84788	4.32742	0.547376	1.03468	3.19892
PPARGC1A	ENSG00000109819.8	1.88822	2.28855	1.89947	0.448936	1.27828	1.9316	1.26943	2.10983	3.79116	3.22422	7.12312	5.71149	4.36466	6.30843	1.93797	2.54636	2.72483	2.50651	1.13686	2.0156	1.60012	0.829564	0.0233433	2.58835	3.8099	2.12792	4.70338	5.36943	0.816935	7.06529	2.32841	13.5228	9.40684	10.1089	12.5484	9.21635	3.29224	10.8542	11.0173	1.59596	0.761154	1.26545	4.63045	2.83343	4.74147	7.07899	3.55743	0.387908	2.71471	4.76897	17.2593	1.11726	1.01905	0.0223064
CLOCK	ENSG00000134852.14	8.59995	8.02249	6.68595	10.0821	10.0737	11.2298	9.67656	3.66137	4.72906	3.98736	16.0239	13.3955	5.24938	6.79217	3.5954	4.45536	4.04904	3.20828	4.90182	3.55701	7.88508	11.6954	6.25185	13.0081	11.8634	8.91877	6.11045	8.95116	11.3262	9.54271	11.4287	4.89891	3.56651	3.20618	4.45366	2.66429	9.38056	6.96277	7.42245	10.765	10.1629	2.91941	10.7832	8.58552	6.46356	6.46885	7.10475	5.44105	6.65356	14.5914	11.3118	13.5037	12.7424	0.693093
MAPK10	ENSG00000109339.19	2.41422	5.61366	4.26535	3.31691	2.81715	0.857463	6.8006	12.8882	21.8662	13.8178	19.842	16.951	29.8162	40.53	12.4181	14.5199	15.2242	9.86472	12.1466	12.9997	2.37835	0.20595	0.0194571	10.7411	10.9409	2.65799	1.47556	2.78503	0.741068	1.52208	5.11794	1.24404	0.26771	3.34592	4.27922	0.20146	2.3903	0.362154	0.109522	2.83591	5.74666	0.603437	13.7575	10.8356	0.323082	0.330889	1.59665	1.83984	1.315	7.69029	6.01014	12.5962	9.92427	0.0261022
SPP1	ENSG00000118785.13	47.2902	28.492	15.102	33.6154	61.7832	9.60877	7.85214	108.406	46.8217	133.152	36.4258	26.6728	43.8623	67.5786	218.704	190.045	106.483	153.187	1888.92	471.386	24.3753	0.401043	2.30621	3.61542	23.188	44.8837	15.9398	11.4178	2.65779	13.4247	11.4049	13.6725	2.88062	1846.97	3688.84	7.23512	11.9069	35.8457	0.442607	114.994	6.18119	80.9828	4.35457	12.9647	1.06006	0.967523	9.61214	2.61198	5.19799	6.68159	6.98067	4.00394	4.77483	1.9961
HAND2	ENSG00000164107.8	4.02801	12.0336	0.851354	46.4316	34.07	24.4153	42.6749	0.0216467	0.0204256	0.0202438	0.44182	0.401118	0.0389314	0.032876	0.0295232	0.0283293	0.021195	0.0133118	0.0446148	0.0187144	5.49802	15.8735	0.0380891	70.4235	81.7017	178.115	47.003	69.0435	1.28912	73.748	50.3427	28.9942	30.2819	0.100873	0.100223	5.30699	0.202205	1.25529	0.301861	2.39891	41.8164	3.08826	0.190701	3.18346	1.971	3.29237	5.72317	1.99529	4.70102	1.45989	4.91494	86.4091	16.1665	0.0276217
SORBS2	ENSG00000154556.17	12.41	10.7795	67.8641	44.4168	75.0025	194.955	38.1266	5.22879	7.20577	9.62923	8.92456	8.76551	10.7426	10.6202	4.69331	4.92258	12.6538	6.90423	2.97819	2.98257	14.0939	1.03522	1.18303	12.9447	12.5097	70.9175	17.7798	31.3361	7.79571	29.9465	12.5122	47.5455	67.0922	5.40715	5.16531	13.7713	7.24279	22.6458	1.80793	18.7545	7.77862	15.7038	20.2649	21.5146	3.00072	4.83821	4.95517	8.85861	13.0945	1.58049	53.9187	8.43223	9.91761	0.0686856
SCGB3A1	ENSG00000161055.3	1.27	1.92849	1.16921	0.469174	0.790009	0.31978	0.446365	0.87077	1.17153	1.21645	0.418387	0.421257	1.23256	1.33861	0.253336	4.99401	3.5192	0.897242	0.48775	0.378091	8.06446	0.119554	0.46642	1.37247	3.11283	0.560853	0.426798	0.481229	0.705292	0.460415	5.73086	0.238356	0.240288	0.915233	1.48808	1.38999	222.525	521.34	0.104202	0.945237	1.0407	1.43481	17.6264	13.1462	2.35928	3.73977	0.734257	11.5638	0.774277	5.23747	4.46198	1.45768	0.709897	0.420833
MGAT1	ENSG00000131446.16	62.2283	54.9907	24.8727	50.4109	48.0299	37.7931	47.0049	7.9295	9.23601	8.91192	16.9772	18.8877	12.9561	11.5378	8.88001	10.1678	8.83866	8.24411	13.8127	10.6446	51.0041	66.7723	32.5141	41.6871	45.9248	30.9111	27.689	40.0919	36.9197	39.19	55.6009	19.5719	14.0543	14.9782	21.3624	26.2081	64.0881	34.0732	12.8611	46.4672	43.7315	20.6056	32.9927	40.4223	29.4279	32.8863	35.9857	65.1692	27.4749	23.9895	60.804	46.7724	38.3116	57.1022
LY86	ENSG00000112799.8	4.18834	4.74375	4.60614	6.37708	5.04386	2.64838	2.97948	3.98394	2.25193	3.65919	1.28288	0.72645	1.77991	2.08557	3.35017	5.3534	3.03394	2.63186	17.8979	7.96297	2.84372	0	106.481	1.3159	2.98345	2.10182	2.84518	1.02374	1.19594	1.12657	3.02956	1.27057	0.46832	1.19585	2.7682	0.757406	15.4195	2.21568	0.13237	6.88885	1.4501	0.669981	2.51955	3.22705	1.2808	1.2778	10.9151	71.6858	1.35201	0.901764	1.44364	1.84657	1.64583	28.265
ZFP57	ENSG00000204644.9	0.11279	0.0532005	0.0465937	0.307187	0.254015	0.362405	0.0277289	3.24886	1.01045	2.08771	0.494293	0.60066	1.41431	1.43512	4.54206	2.35972	1.38401	3.56978	17.6569	6.53067	0.410481	0.0337991	0.0331254	0.0442271	0.103475	0.0935137	0.0812141	0.299831	0.0698395	0.252325	0.270085	0.726703	0.0953903	0.0977703	0.521998	0.0176563	0.0920391	0.485069	0.00758467	0.0522921	0.0410355	0.0237627	0.063836	0.367714	0.0991082	0.201305	0.111332	0.0682936	0.0534397	1.93444	0.0739153	0.392657	0.106686	0.0516251
COL11A2	ENSG00000204248.10	1.18732	1.70204	0.376786	2.32864	2.16422	1.57337	1.1461	3.63869	3.66083	5.7306	32.4198	34.3649	7.29815	5.18209	5.40005	5.34053	5.40572	5.53084	12.3043	4.95293	1.84998	0.694556	0.823455	2.17868	3.19458	1.15533	0.857593	1.27945	0.846892	1.00187	2.28161	1.24208	0.845537	1.35619	1.4977	0.614042	1.93861	1.30144	0.76431	5.87503	2.81174	0.42736	46.2725	2.93624	1.28507	1.05437	1.16776	2.26319	0.672096	22.0009	8.39232	3.26003	2.05737	0.310077
NUDT3	ENSG00000272325.1	19.0768	17.565	15.9104	24.9301	25.9352	26.0052	22.3585	43.3558	44.6477	34.0034	51.9714	42.208	45.3258	52.4022	33.3154	37.6233	34.2056	29.7941	33.4817	36.2942	18.4113	27.326	30.3495	29.5122	31.4168	23.7382	14.0454	19.3515	15.755	20.6171	23.1416	13.2237	12.4874	10.1284	12.8816	6.27071	22.141	15.4066	30.696	58.1843	25.4788	6.55334	14.6269	19.32	14.6771	14.0087	15.2116	16.9667	10.0136	17.8725	30.6517	25.9072	22.0259	6.59777
RPS10	ENSG00000124614.13	657.594	631.237	491.31	683.857	661.466	728.131	783.356	269.15	222.34	206.871	307.642	272.6	200.711	223.483	215.942	253.999	261.605	191.913	289.375	265.487	769.773	1208.32	1474.89	1176.55	1060.38	707.012	541.861	685.996	773.567	658.985	856.596	257.662	174.619	269.298	433.272	210.145	564.026	567.684	300.15	650.889	1681.07	435.984	497.675	743.913	1043.35	1031.55	609.389	714.375	510.108	392.405	640.57	969.041	903.681	234.703
NPY	ENSG00000122585.7	0	0.0783459	0.67521	0.11028	0.423391	0.0798137	0.36072	37.7725	32.4221	107.942	0.397443	0.395569	14.0895	25.9558	16.7393	13.4115	55.7021	129.516	1.00288	1.01214	0.231888	0	0.067211	0.973484	1.87333	1.97057	1.10893	17.3311	0.0723511	28.1101	0.278937	0.227009	0.0561017	0.12539	0.392086	0	0.098734	0.108291	0.0512379	1.46556	0.271619	1.71713	1.28879	107.653	0	0.0560303	7.05686	0	1.73595	1.52287	0.694793	0.250712	0.610995	0
MIR148A	ENSG00000199085.3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
HOXA5	ENSG00000106004.4	8.94283	29.5799	54.6306	2.37318	0.524859	11.463	22.0403	0	0.00535222	0	0.105374	0.0894578	0.0234337	0	0.0164883	0.0226495	0	0	23.0087	0.0361217	21.7139	6.44001	0.066342	10.3563	13.7021	23.698	29.1926	23.8709	7.68041	17.4235	117.891	0.18348	0.0756925	18.0635	33.3107	0.312815	40.2637	0.0924244	4.91382	20.504	2.25769	0.910569	0.104906	15.516	14.0522	10.5179	22.4812	5.63184	6.92818	1.5637	2.45515	36.2483	8.45717	0.16247
CD36	ENSG00000135218.17	534.99	548.955	6.44462	7.70987	43.3913	12.084	13.096	0.50319	0.291084	0.364268	0.195152	0.230291	0.267401	0.293707	0.656747	0.980404	0.222836	0.20424	0.493115	0.232749	362.518	0.584006	0.161068	2.34585	2.23198	19.1817	15.3649	25.7812	2.85199	26.2584	4.78424	80.182	141.393	0.81056	5.11085	3.41992	43.404	8.11637	43.8002	27.0984	2.25926	5.38588	1.19098	2.5134	10.8302	17.4755	15.9939	106.582	15.1165	2.5218	70.973	3.00427	7.6583	16.5683
LEP	ENSG00000174697.4	198.827	55.397	0.102471	0.369487	3.47571	1.33381	0.401681	0.0146039	0.0184926	0.0165622	0.0474065	0.0671234	0.0285089	0.0243554	0.0172263	0.0202337	0.0182002	0.012956	0.0492589	0.0164483	38.384	5.45404	0.0421447	0.128666	0.16923	0.117417	0.217211	0.0914406	0.0753469	0.0558153	0.248007	0.195053	0.0599984	0.0182346	0.0345857	0.0249806	0.0880873	0.221581	0.18638	3.3491	0.0825346	0.131568	0.0252797	0.0661965	0.28848	1.27353	0.194898	0.199325	0.134754	0.438478	0.103198	0.11781	0.143024	0.418224
LPL	ENSG00000175445.14	440.404	473.112	5.83523	5.68818	39.2434	7.9296	5.10139	6.66765	7.74964	57.4759	17.3958	29.4156	7.8969	11.7892	8.4851	7.78691	40.3469	39.8507	7.81232	8.18273	252.551	0.18933	0.157415	3.88104	5.56826	15.8005	8.49685	19.3236	1.06248	18.5617	4.30323	35.271	216.003	4.49426	12.8094	0.257352	102.966	11.8438	38.055	314.062	11.2017	1.9763	4.66615	4.10773	5.37717	9.62306	7.03445	1.66822	4.27199	1.46703	14.3658	4.92126	3.21035	0.557458
